"doi","abstract"
"10.3389/fnhum.2014.00019","In our previous study we found that it takes less time to detect coloration change in a moving object compared to coloration change in a stationary one (Kreegipuu etal., 2006). Here, we replicated the experiment, but in addition to reaction times (RTs) we measured visual evoked potentials (VEPs), to see whether this effect of motion is revealed at the cortical level of information processing. We asked our subjects to detect changes in coloration of stationary (0(°)/s) and moving bars (4.4 and 17.6(°)/s). Psychophysical results replicate the findings from the previous study showing decreased RTs to coloration changes with increase of velocity of the color changing stimulus. The effect of velocity on VEPs was opposite to the one found on RTs. Except for component N1, the amplitudes of VEPs elicited by the coloration change of faster moving objects were reduced than those elicited by the coloration change of slower moving or stationary objects. The only significant effect of velocity on latency of peaks was found for P2 in frontal region. The results are discussed in the light of change-to-change interval and the two methods reflecting different processing mechanisms."
"10.15626/mp.2022.3108","People tend to stick with a default option instead of switching to another option. For instance, Johnson and Goldstein (2003) found a default effect in an organ donation scenario: if organ donation is the default option, people are more inclined to consent to it. Johnson et al. (2002) found a similar default effect in health-survey scenarios: if receiving more information about your health is the default, people are more inclined to consent to it. Much of the highly cited, impactful work on these default effects, however, has not been replicated in well-powered samples. In two well-powered samples (N = 1920), we conducted a close replication of the default effect in Johnson and Goldstein (2003) and in Johnson, Bellman, and Lohse (2002). We successfully replicated Johnson and Goldstein (2003). In an extension of the original findings, we also show that default effects are unaffected by the permanence of these selections. We, however, failed to replicate the findings of Johnson, Bellman, and Lohse’s (2002) study; we did not find evidence for a default effect. We did, however, find a framing effect: participants who read a positively-framed scenario consented to receive health-related information at a higher rate than participants who read a negatively framed scenario. We also conducted a conceptual replication of Johnson et al. (2002) that was based on an organ-donation scenario, but this attempt failed to find a default effect. Our results suggest that default effects depend on framing and context. Materials, data, and code are available on: https://osf.io/8wd2b/."
"10.1037/xap0000321","Escalating commitment describes the phenomenon that decision makers may become stuck in losing courses of action, throwing good money after bad. In a seminal study, testing interventions against escalating commitment, Simonson and Staw (1992) found that holding decision makers accountable for the decision process (i.e., the decision strategies they use) decreases escalating commitment, whereas accountability for the decision outcomes tends to increase it. The initial aim of our study was to extend the original findings by testing for interactive effects of both types of accountability. However, as we did not replicate the original effects in a first experiment, in spite of the fact that our materials and our procedure resembled the original study as closely as possible, we conducted a second experiment with an even stronger accountability manipulation as compared to the original study, and with an increased sample size. Once again, no effects of accountability were found. Taken together, the results of these two experiments question the robustness of the original findings. (PsycInfo Database Record (c) 2021 APA, all rights reserved)."
"10.1037/0022-3514.83.2.406",NA
"10.1371/journal.pone.0029081","The perspective that behavior is often driven by unconscious determinants has become widespread in social psychology. Bargh, Chen, and Burrows' (1996) famous study, in which participants unwittingly exposed to the stereotype of age walked slower when exiting the laboratory, was instrumental in defining this perspective. Here, we present two experiments aimed at replicating the original study. Despite the use of automated timing methods and a larger sample, our first experiment failed to show priming. Our second experiment was aimed at manipulating the beliefs of the experimenters: Half were led to think that participants would walk slower when primed congruently, and the other half was led to expect the opposite. Strikingly, we obtained a walking speed effect, but only when experimenters believed participants would indeed walk slower. This suggests that both priming and experimenters' expectations are instrumental in explaining the walking speed effect. Further, debriefing was suggestive of awareness of the primes. We conclude that unconscious behavioral priming is real, while real, involves mechanisms different from those typically assumed to cause the effect."
"korbmacher_2022",NA
"10.3758/s13423-014-0757-4",NA
"10.17605/osf.io/etg7c","This is an independent secondary replication as part of the Reproducibility Project: Psychology."
"10.1016/j.jesp.2021.104154",NA
"10.1186/2050-7283-1-22","We conclude that claims that self-control failure is caused by the depletion of a resource (or that it functions as if it relies on a limited resource) merit greater circumspection. Our results-all of which were either null or contrary to predictions from the limited strength model-are important for researchers interested in patterns of self-control failure."
"ferrell_2013",NA
"10.31234/osf.io/3bhja","The involuntary loss of paid employment represents an adverse life event that has been suggested to lead to personality change. However, previous research has reported highly contradictory findings. Therefore, a replication of Boyce, Wood, Daly, and Sedikides (2015) is presented. These authors originally identified nonlinear changes in openness, agreeableness, and conscientiousness. Using data from the German National Education Panel Study (N = 5,005), we examined the impact of unemployment on personality change across three years. Latent change analyses indicated no effect of job loss on any Big Five trait. Moderating effects of unemployment duration or gender were not found. Even analyses accounting for potential selection effects led to comparable results. Thus, personality seemed invariant despite changes in employment status."
"10.1037/ebs0000279",NA
"10.1037/pspa0000261","Many failed replications in social psychology have cast doubt on the validity of the field. Most of these replication attempts have focused on findings published from the 1990s on, ignoring a large body of older literature. As some scholars suggest that social psychological findings and theories are limited to a particular time, place, and population, we sought to test whether a classical social psychological finding that was published nearly half a century ago can be successfully replicated in another country on another continent. To this end, we directly replicated Cialdini et al.'s (1975) door-in-the-face (DITF) technique according to which people's likelihood to comply with a target request increases after having turned down a larger request. Thereby, we put the reciprocal concessions theory-the original process explanation of the DITF technique-to a critical test. Overall, compliance rates in our replication were similarly high as those Cialdini et al. (1975) found 45 years ago. That is, participants were more likely to comply with a target request after turning down an extreme request than participants who were exposed to the target request only or to a similarly small request before being exposed to the target request. These findings support the idea that reciprocity norms play a crucial role in DITF strategies. Moreover, the results suggest that at least some social psychological findings can transcend a particular time, place, and population. Further theoretical implications are discussed. (PsycInfo Database Record (c) 2021 APA, all rights reserved)."
"10.1038/s41562-018-0399-z","Being able to replicate scientific findings is crucial for scientific progress<sup>1-15</sup>. We replicate 21 systematically selected experimental studies in the social sciences published in Nature and Science between 2010 and 2015<sup>16-36</sup>. The replications follow analysis plans reviewed by the original authors and pre-registered prior to the replications. The replications are high powered, with sample sizes on average about five times higher than in the original studies. We find a significant effect in the same direction as the original study for 13 (62%) studies, and the effect size of the replications is on average about 50% of the original effect size. Replicability varies between 12 (57%) and 14 (67%) studies for complementary replicability indicators. Consistent with these results, the estimated true-positive rate is 67% in a Bayesian analysis. The relative effect size of true positives is estimated to be 71%, suggesting that both false positives and inflated effect sizes of true positives contribute to imperfect reproducibility. Furthermore, we find that peer beliefs of replicability are strongly related to replicability, suggesting that the research community could predict which results would replicate and that failures to replicate were not the result of chance alone."
"10.1038/s41562-024-02062-9",NA
"10.31234/osf.io/jfmsz","We ran a replication of study 1 from this paper, which found that the variety in a person’s social interactions predicts greater well-being, even when controlling for their amount of in-person social interaction. This finding was replicated in our study. In this study participants were asked about their well-being over the last 24 hours, and then asked about their activities the previous day, including how many in-person interactions they had, and the kinds of relationships they have with the people in those interactions (e.g. spouse or partner, other family, friends, coworkers, etc.). The variety of interactions, called “social portfolio diversity,” had a positive association with well-being, above and beyond the positive effects due to the amount of social interaction. Although this finding replicated, this paper has serious weaknesses in transparency and clarity. The pre-registered hypothesis differed from the hypothesis tested, and the authors do not acknowledge this in the paper. The main independent variable, social portfolio diversity, is described as being calculated in three conflicting ways in different parts of the paper and in the pre-registration. The findings reported in the paper are based on what we believe to be incorrect calculations of their primary independent and control variables (i.e., calculations that contradict the variable definitions given in the paper), and their paper misreports the sample size for their main analysis because the calculation error in the primary independent variable removed 76 cases from their analysis. Unfortunately, the authors did not respond to emails seeking clarification about their analysis. Despite the flaws in the analysis, when these flaws were corrected, we found that we were indeed able to replicate the original claims of the paper – so the main hypothesis itself held up to scrutiny, despite inconsistencies and seeming mistakes with how calculations were performed. (Update: On 8/9/2023 the authors wrote to us that they will be requesting that the journal update their article with a clarification.)"
"10.1073/pnas.2402315121","Large volumes of liquid water transiently existed on the surface of Mars more than 3 billion years ago. Much of this water is hypothesized to have been sequestered in the subsurface or lost to space. We use rock physics models and Bayesian inversion to ..."
"10.31234/osf.io/ntukz","Past studies have shown that higher levels of anger are inferred from faces that show increased facial redness (red-anger effect). However, all previous research in support of this effect has used within-subjects designs with varying levels of facial redness. We hypothesized that very frequent random changes in facial redness paired with limited options to respond to such changes can induce demand characteristics. As the color red has also been found to be strongly associated with anger, it may be obvious for participants that they are expected to respond to facial redness by indicating higher levels of perceived anger. In a preregistered close replication (Study 1, N = 40) conducted online, we observed the red-anger effect but were able to show that approximately one fifth of the participants were suspicious about the purpose of the study. If the effect is independent of demand characteristics, it should also emerge when facial redness is manipulated between-subjects. In a preregistered conceptual replication (Study 2, N = 329), we found the red-anger effect in a within-subjects design condition but not in a between-subjects design condition. We conclude that past findings of the red-anger effect were (at least partially) due to demand characteristics. Future research should (a) attend to demand characteristics, (b) use a broader diversity of methodological approaches, and (c) develop and test explanations about processes that are related to color in emotion perception."
"10.1016/j.actpsy.2020.103138",NA
"10.15626/mp.2020.2639","Redden and Hoch (2009) found that variety in a set of items robustly decreased the perceived quantity of the sum of these items across multiple studies. For example, a set of multicolored M&amp;M’s was estimated to contain fewer M&amp;M’s than an equally large set of single-colored M&amp;M’s (e.g., Redden &amp; Hoch, 2009, Study 3). We conducted six close replication studies of the studies reported by Redden and Hoch and did not find this effect in any of them. A meta-analysis of the four original studies and 6 replication studies (N = 1,383) revealed no evidence for the phenomenon that variety reduces perceived quantity."
"10.1016/j.jesp.2024.104619","If you are trying to persuade someone, expressing your opinion with certainty intuitively seems like a good strategy to maximize your influence. However, Karmarkar and Tormala (2010) found that the effectiveness of this tactic depends on expertise. In three experiments, Karmarkar and Tormala found support for an incongruity hypothesis, whereby non-expert sources can gain interest and influence by expressing certainty, while expert sources can increase persuasion by expressing uncertainty. In this Registered Report, we conducted a high-powered (N = 1018) direct replication of Experiment 2 by Karmarkar and Tormala (2010). In a consumer behaviour context, the original study examined whether source expertise moderated the positive effect of source certainty on the persuasive impact of a restaurant recommendation. The present replication failed to find support for the incongruity hypothesis, ηp2 = 0.00 [0.00, 0.02]: expressing certainty had a positive but non-significant effect for non-experts, d = 0.10 [−0.10, 0.34], and a positive effect for experts, d = 0.28 [0.03, 0.52]. Instead, the results supported the competing confidence heuristic hypothesis that expressed certainty would have a positive effect on persuasion, irrespective of source expertise, d = 0.18 [0.01, 0.36]. Extending the original work, we (1) controlled for the reason given for (un)certainty, and (2) examined need for closure as a potential individual difference moderator. The results indicated robust support for the confidence heuristic d = 0.25, [0.12, 0.37], but neither reason for (un)certainty nor need for closure moderated the effect as hypothesized. All materials, data, and code are available on: https://osf.io/hbjyv/."
"10.17605/osf.io/ezw6p",NA
"10.1016/j.actpsy.2022.103717","The present study was a pre-registered direct replication of Ward et al.'s (2017) second experiment (OSF pre-registration found at: https://osf.io/5fq4r). This replication assigned both smartphone location (on desk, in pocket/bag, or outside of the testing room) and smartphone power (on, or off) for a total of six conditions. Participants completed an automated operation span (OSpan) task, a Cue-Dependent Go/No-Go task, and the smartphone attachment and dependency inventory. It was hypothesized that performance on an attention-demanding task (i.e., the OSpan task) would be worse for those in closer proximity to their smartphone (on desk) and that those with greater smartphone attachment and dependency would have a larger ""brain drain"" effect. Using the same tasks and conditions as in Ward et al.'s (2017) second experiment, the present study found that the ""brain drain"" effect did not replicate: there was no difference between smartphone location conditions on performance on either the o-span task or the go/no-go task. These findings demonstrate that the mere presence of one's smartphone may not be enough to affect cognitive performance. Understanding these effects is crucial in a time where smartphones are a basic necessity."
"10.17605/osf.io/fmd75","We have conducted a close replication attempt of Epley and Gilovich, 2006, Study 2a Epley, N., &amp; Gilovich, T. (2006). The anchoring-and-adjustment heuristic: Why the adjustments are insufficient. Psychological Science, 17(4), 311–318. https://doi.org/10.1111/j.1467-9280.2006.01704.x"
"10.1371/journal.pone.0096339","Past event-related potentials (ERPs) research shows that, after exerting effortful emotion inhibition, the neural correlates of performance monitoring (e.g. error-related negativity) were weakened. An undetermined issue is whether all forms of emotion regulation uniformly impair later performance monitoring. The present study compared the cognitive consequences of two emotion regulation strategies, namely suppression and reappraisal. Participants were instructed to suppress their emotions while watching a sad movie, or to adopt a neutral and objective attitude toward the movie, or to just watch the movie carefully. Then after a mood scale, all participants completed an ostensibly unrelated Stroop task, during which ERPs (i.e. error-related negativity (ERN), post-error positivity (Pe) and N450) were obtained. Reappraisal group successfully decreased their sad emotion, relative to the other two groups. Compared with participants in the control group and the reappraisal group, those who suppressed their emotions during the sad movie showed reduced ERN after error commission. Participants in the suppression group also made more errors in incongruent Stroop trials than the other two groups. There were no significant main effects or interactions of group for reaction time, Pe and N450. Results suggest that reappraisal is both more effective and less resource-depleting than suppression."
"10.17605/osf.io/82bwv",NA
"10.17605/osf.io/ehjdm",NA
"10.17605/osf.io/ictp5",NA
"10.3389/fpsyg.2014.00786","According to the crowd within effect, the average of two estimates from one person tends to be more accurate than a single estimate of that person. The effect implies that the well documented wisdom of the crowd effect-the crowd's average estimate tends to be more accurate than the individual estimates-can be obtained within a single individual. In this paper, we performed a high-powered, pre-registered replication study of the original experiment. Our replication results are evaluated with the traditional null hypothesis significance testing approach, as well as with effect sizes and their confidence intervals. We adopted a co-pilot approach, in the sense that all analyses were performed independently by two researchers using different analysis software. Moreover, we report Bayes factors for all tests. We successfully replicated the crowd within effect, both when the second guess was made immediately after the first guess, as well as when it was made 3 weeks later. The experimental protocol, the raw data, the post-processed data and the analysis code are available online."
"10.3389/fpsyg.2014.01276","Whether cleanliness influences moral judgments has recently become a topic of debate in the psychological literature. After the initial report that activating the notion of physical purity can result in less severe moral judgments (Schnall et al., 2008a), a direct replication (Johnson et al., 2014a) with much larger sample sizes failed to yield similar findings. The current paper examines the possibility that only non-conscious activation of the cleanliness concept, as achieved in participants with low response effort on priming materials, can produce the expected effect. An online replication (Study 1, N = 214) provided evidence that, when participants exerted low (yet still acceptable) levels of response effort to the experimental material, cleanliness priming led to more lenient moral judgments than neutral priming. An online experiment (Study 2, N = 440; replicated in Study 2a, N = 436) manipulating participants' effort on the priming task (low vs. high) supported the hypothesized mechanism. Specifically, respondents in the low response effort group were instructed to complete the priming task as quickly as possible without too much attention, and the cleanliness priming resulted in less extreme moral judgments than the neutral condition as expected. In contrast, respondents in the high response effort group were instructed to perform to the best of their ability on the priming task, with a non-significant difference on moral ratings between cleanliness and neutral conditions. In addition to helping resolve the controversy regarding the cleanliness hypothesis, the current paper calls into attention the role of response effort in the execution and replication of priming studies."
"10.17605/osf.io/gea2s",NA
"10.17605/osf.io/39xuw",NA
"10.1016/j.joep.2018.12.001",NA
"10.1145/3649217.3653545","In 2017, Edwards et al. studied a large corpus of Java programs collected through an automated submission and assessment system that integrated static analysis feedback. They found that errors reported were most commonly related to formatting, but that the frequency of errors they categorized as ""Coding Flaws"" correlated with program correctness grades. They argued that static analysis feedback could detect problems relating to code correctness and could therefore be useful beyond evaluating conformance to style rules, but that students may overlook non-cosmetic error messages because of the relative volume of formatting errors. In this paper we perform a conceptual replication of the Edwards et al. study with 1270 CS1 students learning Python. We confirm that almost a decade later and even after being instructed to use the auto-formatting options within their IDE, students still encounter mostly formatting errors when using a static analysis tool. We find that the second- most common category of errors detected are ""Coding Flaws"", and, like Edwards et al., that the frequency of coding flaws identified by the static analysis tool correlates to program correctness. When we examine trends based on levels of prior programming experience, we find that all students tend to make more formatting errors than other kinds of errors, but that students with no prior programming experience have more errors reported across all error categories."
"10.31236/osf.io/tzn6d","Objective: to replicate the hypothesis that mental fatigue impairs physical performance. Design: a pre-registered (https://osf.io/wqkap/), randomized, within-subject experiment. Methods: 30 recreationally active adults completed a time-to-exhaustion test (TTE) at 80% VO2max in two separate sessions, after completing a mental fatigue task or watching a documen-tary for 90 min. We measured power output, heart rate, RPE and subjective mental fatigue state. Results: Bayes factor analyses revealed extreme evidence supporting the alternative hypothesis that the mental fatigue task was more mentally fatiguing than the control task, BF01 = 0.009. However, we found moderate-to-strong evidence for the null hypothesis (i.e., no evidence of reduced performance) for average time in TTE (BF01 = 9.762) and anecdotal evidence for the null hypothesis in RPE (BF01 = 2.902) and heart rate (BF01 = 2.587). Conclusions: our data seem to challenge the idea that mental fatigue has a negative influence on exercise performance. Although we did succeed at manipulating subjective mental fatigue, this did not impair physical performance. However, we cannot discard the possibility that mental fatigue may have a negative influence under conditions not explored here, e.g., individualizing mentally fatiguing tasks. In sum, further research is warranted to determine the role of mental fatigue on exercise and sport performance."
"10.3758/s13428-022-01879-4",NA
"10.17605/osf.io/e9d3k",NA
"10.31219/osf.io/q56rk","In languages such as German, French, or Hindi, plural forms of job occupations and societal roles are often in a generic-masculine form instead of a gender-inclusive form. Although meant as “generic”, this generic-masculine form excludes women from everyday language. Specifically, listeners and readers are less likely to think of women when this form is used. Due to the societal relevance of gender-inclusive language, we directly replicated and extended a classic study by Stahlberg, Sczesny, and Braun (2001, Experiment 2) in a multi-lab setting and as a registered confirmatory report. We prompted participants from German-speaking countries to name up to three celebrities each in six categories (e.g., “Name three politicians” or “(...) singers”). We then counted how often participants mentioned women. Participants were either prompted with the generic-masculine form, a neutralized control form or one out of three gender-inclusive forms. Our data from twelve labs and N = 2,697 participants replicated the original effect: when prompted with gender-inclusive forms participants mentioned more women than when the generic masculine and the control form were used. Moreover, the effect remained present in multilevel models and when controlling for participants’ sex and their perceived base rate in these celebrity categories (i.e., the expected proportion of women). Other variables, such as political orientation or preference for gender-inclusive language, did not show large effects, either. We discuss the differences between specific gender-inclusive forms (e.g., the internal-I vs. feminine-masculine forms), implications for regulations and guidelines, as well as implications for non-binary and gender-diverse people."
"10.1177/0956797613486983",NA
"10.3758/s13414-019-01723-6",NA
"10.3389/fped.2021.590040","OPINION article Front. Pediatr., 18 March 2021Sec. Pediatric Neurology Volume 9 - 2021 | https://doi.org/10.3389/fped.2021.590040"
"10.17605/osf.io/j8a4p",NA
"10.17605/osf.io/uxajg","Replication of Huang (2014)"
"digitalcommons.memphis.edu--etd--3538",NA
